No,Filename,Width,Height,AspectRatio,PixelAspectRatio,SourceDisplayRatio,RatioSource,Format,HasTransparentPixels,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category
1,2025082916122218429(1)_p10_24.png,390,390,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.8,Near square
2,2025082916122218429(1)_p10_25.png,390,390,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.4,Near square
3,2025082916122218429(1)_p10_26.jpeg,1070,713,1.50,1.50,1.50,native,JPEG,False,1,,bitmap,True,True,115.8,Wide landscape
4,2025082916122218429(1)_p11_27.jpeg,842,561,1.50,1.50,1.50,native,JPEG,False,1,,bitmap,True,True,24.9,Wide landscape
5,2025082916122218429(1)_p11_28.jpeg,819,546,1.50,1.50,1.50,native,JPEG,False,1,,bitmap,True,True,75.8,Standard landscape
6,2025082916122218429(1)_p11_29.jpeg,820,546,1.50,1.50,1.50,native,JPEG,False,1,,bitmap,True,True,19.2,Wide landscape
7,2025082916122218429(1)_p11_30.png,422,333,1.27,1.27,1.27,native,PNG,False,1,,bitmap,True,True,1.3,Standard landscape
8,2025082916122218429(1)_p11_31.png,422,333,1.27,1.27,1.27,native,PNG,False,1,,bitmap,True,True,1.3,Standard landscape
9,2025082916122218429(1)_p11_32.png,433,333,1.30,1.30,1.30,native,PNG,False,1,,bitmap,True,True,1.4,Standard landscape
10,2025082916122218429(1)_p12_33.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.5,Near square
11,2025082916122218429(1)_p12_34.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.6,Near square
12,2025082916122218429(1)_p15_35.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.5,Near square
13,2025082916122218429(1)_p15_36.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.6,Near square
14,2025082916122218429(1)_p16_37.png,158,171,0.92,0.92,0.92,native,PNG,False,1,,bitmap,True,True,1.7,Near square
15,2025082916122218429(1)_p16_38.png,158,171,0.92,0.92,0.92,native,PNG,False,1,,bitmap,True,True,1.7,Near square
16,2025082916122218429(1)_p16_39.png,313,57,5.49,5.49,5.49,native,PNG,False,1,,bitmap,True,True,1.2,Ultra-wide
17,2025082916122218429(1)_p16_40.png,313,56,5.59,5.59,5.59,native,PNG,False,1,,bitmap,True,True,1.2,Ultra-wide
18,2025082916122218429(1)_p16_41.png,69,338,0.20,0.20,0.20,native,PNG,False,1,,bitmap,True,True,1.1,Portrait
19,2025082916122218429(1)_p16_42.png,69,338,0.20,0.20,0.20,native,PNG,False,1,,bitmap,True,True,1.1,Portrait
20,2025082916122218429(1)_p16_43.png,69,338,0.20,0.20,0.20,native,PNG,False,1,,bitmap,True,True,1.0,Portrait
21,2025082916122218429(1)_p16_44.png,69,338,0.20,0.20,0.20,native,PNG,False,1,,bitmap,True,True,1.0,Portrait
22,2025082916122218429(1)_p17_45.jpeg,733,1020,0.72,0.72,0.72,native,JPEG,False,1,,bitmap,True,True,79.6,Portrait
23,2025082916122218429(1)_p17_46.jpeg,733,489,1.50,1.50,1.50,native,JPEG,False,1,,bitmap,True,True,35.2,Standard landscape
24,2025082916122218429(1)_p17_47.jpeg,733,445,1.65,1.65,1.65,native,JPEG,False,1,,bitmap,True,True,25.6,Wide landscape
25,2025082916122218429(1)_p1_0.jpeg,1461,800,1.83,1.83,1.83,native,JPEG,False,1,,bitmap,True,True,37.7,Wide landscape
26,2025082916122218429(1)_p1_1.png,119,130,0.92,0.92,0.92,native,PNG,False,1,,bitmap,True,True,4.7,Near square
27,2025082916122218429(1)_p1_2.jpeg,702,518,1.36,1.36,1.36,native,JPEG,False,1,,bitmap,True,True,40.8,Standard landscape
28,2025082916122218429(1)_p3_3.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.5,Near square
29,2025082916122218429(1)_p3_4.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.6,Near square
30,2025082916122218429(1)_p6_5.png,117,178,0.66,0.66,0.66,native,PNG,False,1,,bitmap,True,True,1.2,Portrait
31,2025082916122218429(1)_p6_6.png,117,178,0.66,0.66,0.66,native,PNG,False,1,,bitmap,True,True,1.2,Portrait
32,2025082916122218429(1)_p7_10.png,120,120,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,0.7,Near square
33,2025082916122218429(1)_p7_11.png,78,78,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,0.4,Near square
34,2025082916122218429(1)_p7_12.png,102,102,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.6,Near square
35,2025082916122218429(1)_p7_13.png,102,102,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.7,Near square
36,2025082916122218429(1)_p7_14.png,43,43,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.4,Near square
37,2025082916122218429(1)_p7_15.png,121,121,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,0.7,Near square
38,2025082916122218429(1)_p7_16.png,78,78,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,0.4,Near square
39,2025082916122218429(1)_p7_17.png,103,103,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.3,Near square
40,2025082916122218429(1)_p7_18.png,103,103,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.6,Near square
41,2025082916122218429(1)_p7_19.png,43,43,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.4,Near square
42,2025082916122218429(1)_p7_20.png,121,121,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,0.7,Near square
43,2025082916122218429(1)_p7_21.png,78,78,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,0.4,Near square
44,2025082916122218429(1)_p7_7.png,103,103,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.5,Near square
45,2025082916122218429(1)_p7_8.png,103,103,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.6,Near square
46,2025082916122218429(1)_p7_9.png,42,42,1.00,1.00,1.00,native,PNG,False,1,,bitmap,True,True,1.3,Near square
47,2025082916122218429(1)_p8_22.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.5,Near square
48,2025082916122218429(1)_p8_23.png,142,134,1.06,1.06,1.06,native,PNG,False,1,,bitmap,True,True,1.6,Near square
49,image_001.png,2411,1098,2.20,2.20,2.20,native,PNG,False,1,,bitmap,True,True,134.9,Ultra-wide
50,image_002.png,2106,1242,1.70,1.70,1.70,native,PNG,False,1,,bitmap,True,True,101.1,Wide landscape
51,image_003.png,2231,989,2.26,2.26,2.26,native,PNG,False,1,,bitmap,True,True,89.3,Ultra-wide
52,image_004.png,2044,990,2.06,2.06,2.06,native,PNG,False,1,,bitmap,True,True,86.5,Ultra-wide
53,image_005.png,1926,954,2.02,2.02,2.02,native,PNG,False,1,,bitmap,True,True,66.1,Ultra-wide
54,image_006.png,895,755,1.19,1.19,1.19,native,PNG,False,1,,bitmap,True,True,56.7,Near square
55,image_007.png,891,618,1.44,1.44,1.44,native,PNG,False,1,,bitmap,True,True,49.9,Standard landscape
56,image_008.png,884,624,1.42,1.42,1.42,native,PNG,False,1,,bitmap,True,True,51.5,Standard landscape
57,image_009.png,691,841,0.82,0.82,0.82,native,PNG,False,1,,bitmap,True,True,70.1,Near square
58,image_010.png,1688,816,2.07,2.07,2.07,native,PNG,False,1,,bitmap,True,True,96.6,Ultra-wide
